ID,Sex,Marital status,Age,Education,Income,Occupation,Height,Weight,Settlement size,Parents name
100000001,male,single,67,university,124670,staff,173,82,big city,Martin
100000002,female,non-single,22,high school,150773,staff,144,60,big city,Ann
100000003,male,single,49,high school,89210,unemployed,164,63,small city,Matt
100000004,male,single,45,,171565,staff,144,46,mid-size city,Lothor
100000005,male,single,53,high school,149031,staff,160,53,mid-size city,Samuel
100000006,male,single,35,high school,144848,unemployed,170,84,small city,Roozan
100000007,male,single,53,,156495,staff,168,77,mid-size city,Matt
100000008,male,single,35,high school,193621,manager,173,67,mid-size city,Matt
100000009,male,non-single,61,university,151591,unemployed,185,66,small city,Ann
100000010,male,non-single,28,high school,174646,manager,155,81,small city,Matt
100000011,female,non-single,25,high school,108469,staff,185,75,small city,Roozan
100000012,female,non-single,24,high school,127596,staff,175,66,small city,Lothor
100000013,female,non-single,22,high school,108687,staff,142,54,big city,Lothor
100000014,male,single,60,university,89374,unemployed,182,64,small city,Lothor
100000015,female,non-single,28,high school,102899,staff,148,40,mid-size city,Matt
100000016,female,non-single,32,high school,88428,unemployed,159,51,small city,Samuel
100000017,male,single,53,high school,125550,staff,185,56,small city,George
100000018,male,single,25,other,157434,staff,148,78,big city,Roozan
100000019,female,non-single,44,university,261952,manager,154,75,big city,Andrew
100000020,male,single,31,other,144657,staff,185,75,mid-size city,Samuel
100000021,male,single,48,high school,118777,staff,140,85,mid-size city,Samuel
100000022,male,single,44,,147511,staff,140,54,mid-size city,Samuel
100000023,male,single,48,high school,89804,unemployed,143,53,small city,Lothor
100000024,male,single,44,high school,134918,staff,186,78,big city,George
100000025,male,non-single,26,,103667,staff,147,89,big city,Jennifer
100000026,male,single,36,high school,71909,unemployed,143,70,small city,Jennifer
100000027,male,non-single,39,high school,68264,unemployed,151,76,small city,Ann
100000028,female,non-single,42,university,163025,staff,174,58,mid-size city,Martin
100000029,male,single,34,high school,119307,staff,173,75,mid-size city,Martin
100000030,male,single,63,university,175882,staff,174,87,small city,Lothor
100000031,male,non-single,36,high school,159646,staff,153,87,mid-size city,Ann
100000032,male,single,27,other,120131,staff,164,64,mid-size city,Matt
100000033,male,single,30,other,162745,staff,176,68,big city,Ann
100000034,male,single,57,university,87605,unemployed,178,73,small city,George
100000035,female,non-single,33,high school,155569,manager,150,70,mid-size city,Roozan
100000036,male,single,25,other,104505,unemployed,155,89,small city,Lothor
100000037,male,single,31,other,143385,staff,171,51,big city,Samid
100000038,male,single,37,high school,127676,staff,160,51,mid-size city,Samuel
100000039,male,single,37,,119276,staff,188,65,mid-size city,Jennifer
100000040,male,single,24,other,92542,staff,165,77,mid-size city,Jennifer
100000041,male,single,30,other,163329,manager,184,48,mid-size city,Andrew
100000042,male,non-single,26,high school,130921,staff,172,57,small city,Andrew
100000043,male,single,44,,133658,unemployed,180,88,small city,Andrew
100000044,male,non-single,24,high school,155104,staff,156,90,mid-size city,Lothor
100000045,female,non-single,58,university,142335,unemployed,145,73,mid-size city,Ann
100000046,female,non-single,35,high school,138387,manager,163,53,mid-size city,Ann
100000047,male,single,39,,140182,staff,161,78,small city,Jennifer
100000048,female,non-single,23,high school,65421,unemployed,157,59,small city,George
100000049,male,single,39,high school,130500,unemployed,150,67,small city,Samid
100000050,female,non-single,28,high school,122831,staff,153,64,small city,Samuel
100000051,male,single,29,other,84531,unemployed,164,46,small city,Ann
100000052,male,single,30,other,180196,manager,147,68,big city,Andrew
100000053,male,single,25,other,92058,staff,184,74,big city,Samid
100000054,male,single,31,other,117158,staff,179,50,small city,Martin
100000055,male,single,57,university,135830,staff,140,53,mid-size city,Samid
